latitude,longitude,mag,latlon
-3.745,-105.387,4.5,"-105.387,-3.745"
-20.63,168.58900000000003,4.5,"168.58900000000003,-20.63"
30.79,141.525,4.8,"141.525,30.79"
44.7,146.30700000000004,4.8,"146.30700000000004,44.7"
34.267,80.768,4.7,"80.768,34.267"
-3.569,135.534,5.3,"135.534,-3.569"
43.57899999999999,144.47899999999996,4.6,"144.47899999999996,43.57899999999999"
31.2184,142.8999,4.5,"142.8999,31.2184"
-5.456,152.83,4.6,"152.83,-5.456"
-24.03,-66.706,4.8,"-66.706,-24.03"
-37.13800000000001,-72.944,4.7,"-72.944,-37.13800000000001"
39.74,143.189,5.2,"143.189,39.74"
53.0,-132.37,4.6,"-132.37,53.0"
-19.484,-177.6234,4.5,"-177.6234,-19.484"
43.603,12.069,4.6,"12.069,43.603"
-5.627999999999999,147.26,4.6,"147.26,-5.627999999999999"
39.5,54.492,4.6,"54.492,39.5"
46.872,152.734,4.6,"152.734,46.872"
22.855,121.624,4.5,"121.624,22.855"
-35.367,-72.719,4.8,"-72.719,-35.367"
-10.8241,161.9672,4.5,"161.9672,-10.8241"
34.169000000000004,139.205,4.8,"139.205,34.169000000000004"
-11.004,165.56900000000005,5.7,"165.56900000000005,-11.004"
-21.8888,169.7845,4.6,"169.7845,-21.8888"
20.807,121.094,4.6,"121.094,20.807"
-59.639,-25.625,4.5,"-25.625,-59.639"
34.4026,141.6045,4.6,"141.6045,34.4026"
46.27,154.536,4.7,"154.536,46.27"
27.8112,85.4088,4.5,"85.4088,27.8112"
2.114,127.995,4.6,"127.995,2.114"
-10.7672,161.691,4.9,"161.691,-10.7672"
-6.5346,144.0766,4.6,"144.0766,-6.5346"
38.661,143.092,4.9,"143.092,38.661"
11.1525,126.246,4.7,"126.246,11.1525"
45.63399999999999,14.255999999999998,4.5,"14.255999999999998,45.63399999999999"
-7.3073,130.1002,4.5,"130.1002,-7.3073"
20.6615,147.1889,4.6,"147.1889,20.6615"
-22.2919,-176.0506,4.9,"-176.0506,-22.2919"
-8.953,160.94899999999996,5.4,"160.94899999999996,-8.953"
-9.2585,112.6695,5.9,"112.6695,-9.2585"
-6.933,155.888,4.9,"155.888,-6.933"
-22.212,-177.695,4.5,"-177.695,-22.212"
-10.4762,161.439,4.6,"161.439,-10.4762"
6.307,126.951,4.9,"126.951,6.307"
-60.7177,-41.8286,4.5,"-41.8286,-60.7177"
32.0485,-115.19816670000002,4.96,"-115.19816670000002,32.0485"
5.7732,-78.1999,6.7,"-78.1999,5.7732"
-2.322,136.675,4.5,"136.675,-2.322"
41.2592,144.0761,4.5,"144.0761,41.2592"
-6.613,126.803,4.9,"126.803,-6.613"
-10.789,161.683,4.5,"161.683,-10.789"
-23.83,-176.013,4.8,"-176.013,-23.83"
37.059,142.983,5.0,"142.983,37.059"
33.091,137.02,4.5,"137.02,33.091"
13.885,-91.974,4.8,"-91.974,13.885"
14.563,147.118,4.7,"147.118,14.563"
-32.4938,80.0091,4.5,"80.0091,-32.4938"
-7.8249,117.4771,4.7,"117.4771,-7.8249"
-22.409,-175.418,4.6,"-175.418,-22.409"
5.8179,61.3667,4.7,"61.3667,5.8179"
-5.847,154.713,4.5,"154.713,-5.847"
2.307,95.86,4.6,"95.86,2.307"
-26.108,-177.21099999999996,4.8,"-177.21099999999996,-26.108"
19.703,122.477,4.7,"122.477,19.703"
-7.32,128.364,5.2,"128.364,-7.32"
59.0788,-153.2169,4.6,"-153.2169,59.0788"
11.89,43.988,4.7,"43.988,11.89"
13.9306,124.5533,4.7,"124.5533,13.9306"
-5.7157,151.732,4.5,"151.732,-5.7157"
-2.5649,-12.2083,5.1,"-12.2083,-2.5649"
36.577,138.481,4.5,"138.481,36.577"
51.50100000000001,176.588,4.5,"176.588,51.50100000000001"
-19.438,167.94,4.9,"167.94,-19.438"
-20.6775,172.5887,4.6,"172.5887,-20.6775"
7.8319,-82.6567,4.6,"-82.6567,7.8319"
16.3075,-98.6548,4.7,"-98.6548,16.3075"
-13.166,167.762,4.7,"167.762,-13.166"
51.0327,-130.2433,4.7,"-130.2433,51.0327"
34.061,139.32,4.7,"139.32,34.061"
44.957,150.805,4.6,"150.805,44.957"
17.921,-102.56,4.7,"-102.56,17.921"
39.832,142.05200000000005,5.0,"142.05200000000005,39.832"
-6.797999999999999,153.595,4.9,"153.595,-6.797999999999999"
-15.048,-173.706,4.6,"-173.706,-15.048"
34.324,137.08,4.5,"137.08,34.324"
32.8492,130.7121,4.6,"130.7121,32.8492"
-7.7717,106.3932,4.5,"106.3932,-7.7717"
-30.27,-178.4409,4.5,"-178.4409,-30.27"
-41.309,-88.73200000000001,4.7,"-88.73200000000001,-41.309"
-20.875,168.39700000000005,4.6,"168.39700000000005,-20.875"
34.071,139.243,4.5,"139.243,34.071"
-53.2367,20.1656,4.5,"20.1656,-53.2367"
33.8813,136.3087,4.6,"136.3087,33.8813"
-31.426,-68.492,4.7,"-68.492,-31.426"
-4.617,134.071,6.0,"134.071,-4.617"
9.8621,125.9644,4.5,"125.9644,9.8621"
-43.078,-74.102,5.1,"-74.102,-43.078"
2.727,94.005,4.5,"94.005,2.727"
-20.327,-177.83700000000005,5.3,"-177.83700000000005,-20.327"
3.636,122.338,4.5,"122.338,3.636"
85.59,21.385,4.8,"21.385,85.59"
-22.3842,-69.8948,4.5,"-69.8948,-22.3842"
8.175,-82.848,4.6,"-82.848,8.175"
23.662,90.259,4.5,"90.259,23.662"
36.436,144.093,4.8,"144.093,36.436"
-17.919,167.73,5.0,"167.73,-17.919"
-6.086,154.4528,5.3,"154.4528,-6.086"
5.088,94.141,4.5,"94.141,5.088"
-55.0311,-127.3297,4.7,"-127.3297,-55.0311"
13.603,120.908,4.6,"120.908,13.603"
12.431,141.64700000000005,4.8,"141.64700000000005,12.431"
36.846,142.167,5.1,"142.167,36.846"
37.594,141.299,5.6,"141.299,37.594"
-7.0016,102.5606,4.8,"102.5606,-7.0016"
-16.926,-172.71099999999996,4.9,"-172.71099999999996,-16.926"
-20.834,169.241,4.5,"169.241,-20.834"
13.8398,146.3405,5.7,"146.3405,13.8398"
-8.523,124.737,4.6,"124.737,-8.523"
-21.5868,-174.6714,4.7,"-174.6714,-21.5868"
10.364,126.817,4.9,"126.817,10.364"
0.046,123.406,4.6,"123.406,0.046"
3.67,126.632,5.3,"126.632,3.67"
-48.2073,-9.8649,5.3,"-9.8649,-48.2073"
-3.606,135.283,5.1,"135.283,-3.606"
-33.2418,-179.4869,5.3,"-179.4869,-33.2418"
54.9033,164.5425,4.7,"164.5425,54.9033"
-23.168000000000006,-175.485,4.8,"-175.485,-23.168000000000006"
4.267,127.107,5.0,"127.107,4.267"
-63.337,169.919,5.8,"169.919,-63.337"
-9.523,108.693,5.0,"108.693,-9.523"
56.1771,-149.1559,4.8,"-149.1559,56.1771"
1.8603,-94.7975,4.5,"-94.7975,1.8603"
-56.093,-27.64,5.0,"-27.64,-56.093"
-58.348,-22.903,5.2,"-22.903,-58.348"
-24.906,-179.08599999999996,4.6,"-179.08599999999996,-24.906"
-58.041,-25.807,5.2,"-25.807,-58.041"
32.71,105.54,5.7,"105.54,32.71"
-21.671,-179.19799999999995,4.6,"-179.19799999999995,-21.671"
35.997,141.24200000000005,4.8,"141.24200000000005,35.997"
32.217,142.34799999999996,4.7,"142.34799999999996,32.217"
-54.04600000000001,-2.5,4.6,"-2.5,-54.04600000000001"
-58.724,-25.362,5.2,"-25.362,-58.724"
2.6386,126.2148,4.5,"126.2148,2.6386"
-1.926,67.96300000000001,4.6,"67.96300000000001,-1.926"
-19.2049,-173.3387,4.6,"-173.3387,-19.2049"
19.157,146.224,4.5,"146.224,19.157"
-17.7931,-178.8103,5.0,"-178.8103,-17.7931"
38.836,14.653,4.8,"14.653,38.836"
-17.9297,-179.6282,4.5,"-179.6282,-17.9297"
3.7713,127.8406,4.5,"127.8406,3.7713"
48.5358,-140.2725,4.5,"-140.2725,48.5358"
-5.343,147.244,4.5,"147.244,-5.343"
-5.0869,148.9759,4.5,"148.9759,-5.0869"
39.935,23.431,5.2,"23.431,39.935"
9.5132,126.3345,4.5,"126.3345,9.5132"
10.2454,91.637,4.7,"91.637,10.2454"
39.719,143.981,4.6,"143.981,39.719"
-6.495,129.97899999999998,4.5,"129.97899999999998,-6.495"
14.3617,-91.1382,4.7,"-91.1382,14.3617"
-31.383000000000006,179.97,4.8,"179.97,-31.383000000000006"
46.707,147.3917,4.5,"147.3917,46.707"
-9.1573,158.9089,5.2,"158.9089,-9.1573"
18.5275,147.1708,4.5,"147.1708,18.5275"
-15.5688,-173.0195,5.0,"-173.0195,-15.5688"
7.928,93.956,4.5,"93.956,7.928"
2.403,126.41,4.8,"126.41,2.403"
-24.3219,179.7271,4.5,"179.7271,-24.3219"
-18.022,-176.736,5.1,"-176.736,-18.022"
27.871,-88.6778,4.6,"-88.6778,27.871"
28.447,86.18700000000003,4.5,"86.18700000000003,28.447"
-5.506,147.666,5.0,"147.666,-5.506"
5.17,93.476,5.3,"93.476,5.17"
-6.72,155.276,4.5,"155.276,-6.72"
48.49,-128.84,4.7,"-128.84,48.49"
36.76300000000001,143.55200000000005,4.7,"143.55200000000005,36.76300000000001"
2.146,128.66899999999998,4.7,"128.66899999999998,2.146"
27.7316,128.9835,4.5,"128.9835,27.7316"
3.39,99.079,6.3,"99.079,3.39"
-0.7115,99.7892,5.2,"99.7892,-0.7115"
-10.8545,112.3622,4.5,"112.3622,-10.8545"
4.007,126.408,4.8,"126.408,4.007"
-37.338,179.834,4.5,"179.834,-37.338"
-13.66,-178.046,4.9,"-178.046,-13.66"
36.511,70.952,4.6,"70.952,36.511"
