time,latitude,longitude,depth,mag,magType,id,place,type,status,region,influence
2007-11-29 19:00:20.420000+00:00,14.944,-61.274,156.0,7.4,mwb,usp000ftj1,"Martinique region, Windward Islands",earthquake,reviewed,Windward Islands,7.4
2007-11-14 15:40:50.530000+00:00,-22.247,-69.89,40.0,7.7,mwc,usp000fshy,"Antofagasta, Chile",earthquake,reviewed,Chile,7.7
2007-10-31 03:30:15.960000+00:00,18.9,145.388,207.0,7.2,mwb,usp000frnh,"Pagan region, Northern Mariana Islands",earthquake,reviewed,Northern Mariana Islands,7.2
2007-09-30 05:23:34.070000+00:00,-49.271,164.115,10.0,7.4,mwc,usp000fpgq,"Auckland Islands, New Zealand region",earthquake,reviewed,New Zealand region,8.4
2007-09-28 13:38:57.880000+00:00,22.013,142.668,260.0,7.5,mwc,usp000fpca,"Volcano Islands, Japan region",earthquake,reviewed,Japan region,7.5
2007-09-12 23:49:03.720000+00:00,-2.625,100.841,35.0,7.9,mwc,usp000fn2b,"Kepulauan Mentawai region, Indonesia",earthquake,reviewed,Indonesia,7.9
2007-09-12 11:10:26.830000+00:00,-4.438,101.367,34.0,8.4,mww,official20070912111026830_34,"southern Sumatra, Indonesia",earthquake,reviewed,Indonesia,8.4
2007-09-02 01:05:18.150000+00:00,-11.61,165.762,35.0,7.2,mwc,usp000fm6b,Santa Cruz Islands,earthquake,reviewed,Santa Cruz Islands,7.2
2007-08-15 23:40:57.890000+00:00,-13.386,-76.60300000000002,39.0,8.0,mwc,usp000fjta,near the coast of central Peru,earthquake,reviewed,near the coast of central Peru,8.0
2007-08-08 17:05:04.920000+00:00,-5.859,107.419,280.0,7.5,mwc,usp000fj6k,"Java, Indonesia",earthquake,reviewed,Indonesia,7.5
2007-08-01 17:08:51.400000+00:00,-15.595,167.68,120.0,7.2,mwb,usp000fhm9,Vanuatu,earthquake,reviewed,Vanuatu,7.2
2007-04-01 20:39:58.710000+00:00,-8.466000000000001,157.043,24.0,8.1,mwc,usp000f83m,Solomon Islands,earthquake,reviewed,Solomon Islands,8.1
2007-03-25 00:40:01.610000+00:00,-20.617,169.357,34.0,7.1,mwb,usp000f7b4,Vanuatu,earthquake,reviewed,Vanuatu,7.1
2007-01-21 11:27:45.060000+00:00,1.065,126.282,22.0,7.5,mwc,usp000f34b,Molucca Sea,earthquake,reviewed,Molucca Sea,7.5
2007-01-13 04:23:21.160000+00:00,46.243,154.524,10.0,8.1,mwc,usp000f2ab,east of the Kuril Islands,earthquake,reviewed,east of the Kuril Islands,9.1
2006-12-26 12:26:21.140000+00:00,21.799,120.547,10.0,7.1,mwb,usp000f114,Taiwan region,earthquake,reviewed,Taiwan region,8.1
2006-11-15 11:14:13.570000+00:00,46.592,153.266,10.0,8.3,mwc,usp000exfn,Kuril Islands,earthquake,reviewed,Kuril Islands,9.3
2006-07-17 08:19:26.680000+00:00,-9.284,107.419,20.0,7.7,mwc,usp000ensm,"south of Java, Indonesia",earthquake,reviewed,Indonesia,7.7
2013-05-24 05:44:48.980000+00:00,54.892,153.221,598.1,8.3,mww,usb000h4jh,Sea of Okhotsk,earthquake,reviewed,Sea of Okhotsk,8.3
2013-05-23 17:19:04.750000+00:00,-23.009,-177.232,173.7,7.4,mww,usb000h3k3,"282km SW of Vaini, Tonga",earthquake,reviewed,Tonga,7.4
2013-04-19 03:05:52.650000+00:00,46.221,150.78799999999995,110.0,7.2,mww,usb000gbf8,"251km ENE of Kuril'sk, Russia",earthquake,reviewed,Russia,7.2
2013-04-16 10:44:20.180000+00:00,28.033,61.996,80.0,7.7,mww,usb000g7x7,"83km E of Khash, Iran",earthquake,reviewed,Iran,7.7
2013-02-08 15:26:38.470000+00:00,-10.928,166.018,21.0,7.1,mww,usc000f40j,"31km SE of Lata, Solomon Islands",earthquake,reviewed,Solomon Islands,7.1
2013-02-06 01:23:19.760000+00:00,-11.183,164.882,10.0,7.1,mww,usc000f1se,"114km WSW of Lata, Solomon Islands",earthquake,reviewed,Solomon Islands,8.1
2013-02-06 01:12:25.830000+00:00,-10.799,165.114,24.0,8.0,mww,usc000f1s0,"76km W of Lata, Solomon Islands",earthquake,reviewed,Solomon Islands,8.0
2013-01-05 08:58:14.957000+00:00,55.228,-134.8591,8.7,7.5,mw,ak0138esnzr,Southeastern Alaska,earthquake,reviewed,Southeastern Alaska,8.5
2012-12-10 16:53:08.770000+00:00,-6.533,129.825,155.0,7.1,mww,usp000jwt8,Banda Sea,earthquake,reviewed,Banda Sea,7.1
2012-12-07 08:18:23.130000+00:00,37.89,143.94899999999996,31.0,7.3,mww,usp000jwjn,"off the east coast of Honshu, Japan",earthquake,reviewed,Japan,7.3
2012-11-07 16:35:46.930000+00:00,13.988,-91.895,24.0,7.4,mww,usp000jv5f,offshore Guatemala,earthquake,reviewed,offshore Guatemala,7.4
2012-10-28 03:04:08.820000+00:00,52.788,-132.101,14.0,7.8,mww,usp000juhz,"Haida Gwaii, Canada",earthquake,reviewed,Canada,8.8
2012-09-30 16:31:35.970000+00:00,1.929,-76.362,170.0,7.3,mww,usp000jta1,Colombia,earthquake,reviewed,Colombia,7.3
2012-09-05 14:42:07.800000+00:00,10.085,-85.315,35.0,7.6,mww,usp000jrsw,Costa Rica,earthquake,reviewed,Costa Rica,7.6
2012-08-31 12:47:33.380000+00:00,10.811,126.638,28.0,7.6,mww,usp000jr83,Philippine Islands region,earthquake,reviewed,Philippine Islands region,7.6
2012-08-27 04:37:19.430000+00:00,12.139,-88.59,28.0,7.3,mww,usp000jqvm,off the coast of El Salvador,earthquake,reviewed,off the coast of El Salvador,7.3
2012-08-14 02:59:38.460000+00:00,49.8,145.064,583.2,7.7,mww,usp000jq9h,Sea of Okhotsk,earthquake,reviewed,Sea of Okhotsk,7.7
2005-06-15 02:50:54.190000+00:00,41.292,-125.953,16.0,7.2,mwc,usp000dt25,off the coast of Northern California,earthquake,reviewed,off the coast of Northern California,7.2
2005-06-13 22:44:33.900000+00:00,-19.987,-69.197,115.6,7.8,mwb,usp000dsw1,"Tarapaca, Chile",earthquake,reviewed,Chile,7.8
2005-03-28 16:09:36.530000+00:00,2.085,97.108,30.0,8.6,mww,official20050328160936530_30,"northern Sumatra, Indonesia",earthquake,reviewed,Indonesia,8.6
2005-03-02 10:42:12.230000+00:00,-6.527,129.933,201.7,7.1,mwb,usp000dhc1,Banda Sea,earthquake,reviewed,Banda Sea,7.1
2005-02-05 12:23:18.940000+00:00,5.292999999999998,123.337,525.0,7.1,mwc,usp000dfj2,Celebes Sea,earthquake,reviewed,Celebes Sea,7.1
2004-12-26 04:21:29.810000+00:00,6.91,92.958,39.2,7.2,mwc,usp000dbg6,"Nicobar Islands, India region",earthquake,reviewed,India region,7.2
2004-12-26 00:58:53.450000+00:00,3.295,95.982,30.0,9.1,mw,official20041226005853450_30,2004 Sumatra - Andaman Islands Earthquake,earthquake,reviewed,2004 Sumatra - Andaman Islands Earthquake,9.1
2004-12-23 14:59:04.410000+00:00,-49.312,161.345,10.0,8.1,mwc,usp000db93,north of Macquarie Island,earthquake,reviewed,north of Macquarie Island,9.1
2004-11-26 02:25:03.310000+00:00,-3.609,135.404,10.0,7.1,mwc,usp000d975,"Papua, Indonesia",earthquake,reviewed,Indonesia,8.1
2004-11-22 20:26:23.900000+00:00,-46.676,164.72099999999998,10.0,7.1,mwc,usp000d8ze,off the west coast of the South Island of New Zealand,earthquake,reviewed,off the west coast of the South Island of New Zealand,8.1
2004-11-15 09:06:56.560000+00:00,4.695,-77.508,15.0,7.2,mwb,usp000d8gx,near the west coast of Colombia,earthquake,reviewed,near the west coast of Colombia,7.2
2004-11-11 21:26:41.150000+00:00,-8.152000000000001,124.868,10.0,7.5,mwc,usp000d85g,"Kepulauan Alor, Indonesia",earthquake,reviewed,Indonesia,8.5
2004-09-05 14:57:18.610000+00:00,33.184,137.071,10.0,7.4,mwb,usp000d3mb,"near the south coast of Honshu, Japan",earthquake,reviewed,Japan,8.4
2004-09-05 10:07:07.820000+00:00,33.07,136.618,14.0,7.2,mwc,usp000d3ka,"near the south coast of western Honshu, Japan",earthquake,reviewed,Japan,8.2
2004-07-25 14:35:19.060000+00:00,-2.427,103.981,582.1,7.3,mwb,usp000d0v4,"southern Sumatra, Indonesia",earthquake,reviewed,Indonesia,7.3
